Date,Close
2025-11-24,98.7061538696289
2025-11-25,100.17154693603516
2025-11-26,101.48841857910156
2025-11-28,102.57756805419922
2025-12-01,101.6666488647461
2025-12-02,102.1716079711914
2025-12-03,105.6667709350586
2025-12-04,106.7262191772461
2025-12-05,107.80545043945312
2025-12-08,107.84506225585938
2025-12-09,108.35002899169922
2025-12-10,109.99364471435547
2025-12-11,110.6372299194336
2025-12-12,110.69664001464844
2025-12-15,111.68677520751953
2025-12-16,110.18177032470703
2025-12-17,110.36000061035156
2025-12-18,111.71646881103516
2025-12-19,113.7264404296875
2025-12-22,116.92455291748047
2025-12-23,118.22163391113281
2025-12-24,120.36031341552734
2025-12-26,119.2315673828125
2025-12-29,116.96416473388672
2025-12-30,116.0532455444336
2025-12-31,115.53838348388672
2026-01-02,117.5285415649414
2026-01-05,122.08314514160156
2026-01-06,121.2910385131836
2026-01-07,120.17219543457031
2026-01-08,119.40978240966797
2026-01-09,120.1226806640625
2026-01-12,116.53840637207031
2026-01-13,115.15222930908203
2026-01-14,111.30062103271484
2026-01-15,116.30078125
2026-01-16,116.87505340576172
2026-01-20,111.68677520751953
2026-01-21,112.7363052368164
2026-01-22,114.51854705810547
2026-01-23,112.4689712524414
2026-01-26,113.68683624267578
2026-01-27,113.6571273803711
2026-01-28,113.07294464111328
2026-01-29,114.0630874633789
2026-01-30,114.56804656982422
2026-02-02,115.68277740478516
2026-02-03,117.15580749511719
2026-02-04,116.87712860107422
2026-02-05,115.19508361816406
2026-02-06,122.11236572265625
2026-02-09,123.18727111816406
2026-02-10,121.57490539550781
2026-02-11,116.83731079101562
2026-02-12,110.62669372558594
2026-02-13,110.33805847167969
2026-02-17,113.24430847167969
2026-02-18,115.72258758544922
2026-02-19,115.0059814453125
2026-02-20,115.453857421875
2026-02-23,110.22857666015625
2026-02-24,109.04417419433594
2026-02-25,113.80167388916016
2026-02-26,115.6429672241211
2026-02-27,109.67121887207031
2026-03-02,110.92527770996094
2026-03-03,110.23853302001953
2026-03-04,110.79589080810547
2026-03-05,108.43704986572266
2026-03-06,106.0284423828125
2026-03-09,106.0881576538086
2026-03-10,108.45695495605469
2026-03-11,108.6759262084961
2026-03-12,105.0032958984375
2026-03-13,105.1924057006836
2026-03-16,106.8445816040039
2026-03-17,107.20288848876953
2026-03-18,108.15837097167969
2026-03-19,109.33280944824219
2026-03-20,109.00436401367188
2026-03-23,111.11438751220703
2026-03-24,113.20449829101562
2026-03-25,113.9410171508789
2026-03-26,111.88076782226562
2026-03-27,106.87444305419922
2026-03-30,106.76496124267578
2026-03-31,112.87606048583984
2026-04-01,114.75715637207031
2026-04-02,114.70738983154297
2026-04-06,116.80745697021484
2026-04-07,116.57853698730469
2026-04-08,122.9085922241211
2026-04-09,124.33186340332031
2026-04-10,123.80435943603516
2026-04-13,125.68545532226562
2026-04-14,128.9699249267578
2026-04-15,131.0699920654297
2026-04-16,128.73104858398438
2026-04-17,131.55767822265625
2026-04-20,132.423583984375
2026-04-21,131.06002807617188
2026-04-22,129.1192169189453
2026-04-23,127.90495300292969
2026-04-24,127.37745666503906
2026-04-27,128.53199768066406
2026-04-28,127.92486572265625
2026-04-29,127.00920104980469
2026-04-30,127.37745666503906
2026-05-01,126.84000396728516
2026-05-04,125.62999725341797
2026-05-05,128.00999450683594
2026-05-06,127.5999984741211
2026-05-07,129.08999633789062
2026-05-08,125.55000305175781
2026-05-11,125.8499984741211
2026-05-12,126.44000244140625
2026-05-13,124.0999984741211
2026-05-14,124.81999969482422
2026-05-15,123.41999816894531
2026-05-18,122.41000366210938
2026-05-19,119.97000122070312
2026-05-20,124.81999969482422
