Ticker,Year,Filing_Date,EPS_Actual,EPS_Estimated,EPS_Surprise_Pct,"Market_CAR_[-1,+3]","Market_CAR_[-1,+5]","Market_CAR_[-1,+10]","Market_CAR_[-1,+30]","Market_CAR_[0,+60]"
JPM,2022,2022-02-22,3.12,2.85,9.473684210526317,-0.024348978863452657,-0.049074481188231635,-0.0659275621069709,-0.08489509116373747,-0.05757170937990669
JPM,2023,2023-02-21,4.33,3.97,9.068010075566747,0.010850418555468418,0.026215490511595982,0.010274021813372381,0.021599022584678093,0.08290816567674071
JPM,2024,2024-02-16,4.37,3.99,9.52380952380952,0.009493018318460025,0.011105246170009131,0.02227107833086025,0.05385663276241349,0.07163044179726377
JPM,2025,2025-02-14,5.07,4.87,4.106776180698155,-0.02845680594883678,-0.04009266561893027,-0.057591777201083064,-0.07920363815970687,-0.0329230084554281
JPM,2026,2026-02-13,,,,0.008976758006625509,0.0021501645685600146,-0.009240676069519605,-0.002738062473927723,0.009080335654670856
GS,2022,2022-02-25,8.25,7.52,9.707446808510644,-0.010123009212121,-0.008052521124884516,0.005964010793214437,-0.05387224622493984,0.036909289203978096
GS,2023,2023-02-24,5.47,5.51,-0.7259528130671513,-0.039953732876819074,-0.02081279212786917,-0.016436031466393622,-0.003992059051974237,-0.02101832784380367
GS,2024,2024-02-23,9.02,7.31,23.392612859097127,0.007592279563846522,-0.003764350224155021,-0.014856461428181847,0.013783372489099263,0.14836200606458305
GS,2025,2025-02-27,12.25,11.09,10.459873760144275,-0.036340047913084025,-0.047633223306806916,-0.07881092346867684,-0.10934777481576853,0.006889448635099705
GS,2026,2026-02-25,,,,-0.04621521663034672,-0.043954837793364634,-0.05592419326361295,-0.005162914394336312,0.07570587852707969
WFC,2022,2022-02-22,1.3,1.09,19.266055045871553,-0.02426390490863436,-0.041937132714782985,-0.07406937850800317,-0.1028202812623327,-0.08825202396561771
WFC,2023,2023-02-21,1.48,1.24,19.35483870967742,0.0017405145812780867,0.003250662614860537,-0.028289465577298292,-0.10613114601557931,-0.03457805612450779
WFC,2024,2024-02-20,1.42,1.29,10.077519379844952,0.020658759564193566,0.04123080313472787,0.07091912695116338,0.04563029245786066,0.13976875169672615
WFC,2025,2025-02-25,1.73,1.54,12.337662337662334,-0.00949442512847593,-0.03016357115649867,-0.0628017940434285,-0.060876274054145973,-0.022127127271051768
WFC,2026,2026-02-24,,,,-0.057251450823009885,-0.04023116228192983,-0.06723908832661796,-0.020207291514214135,-0.1170054005427305
C,2022,2022-02-28,1.63,1.43,13.986013986013985,-0.04067780852466429,-0.02113475765331585,-0.06775171857242299,-0.15289455436404364,0.014548976934425084
C,2023,2023-02-27,1.52,1.22,24.590163934426236,0.030762190605275325,0.029761191017210233,0.004601767246443789,0.0292141859047622,0.009658289027347916
C,2024,2024-02-23,1.52,1.32,15.151515151515147,-0.021689370198389575,-0.010105078385249195,0.015833716105169836,0.05922620984942806,0.09521306809190114
C,2025,2025-02-21,2.26,1.93,17.098445595854912,-0.017399682928207906,-0.03246138576922127,-0.08958747592840831,-0.14855907439875388,-0.05738763543536607
C,2026,2026-02-20,,,,-0.0051025633958735675,-0.032580530778261264,-0.047764301760339335,0.054275837179922765,0.06947199063644087
HSBC,2022,2022-02-23,,,,-0.05593731598588371,-0.05736029724104711,-0.07984354809134173,-0.016925729595260355,-0.013817267557371615
HSBC,2023,2023-02-22,,,,-0.027432636348110693,-0.01655184009783296,0.005102386536854339,0.017387181630785675,0.11984580208408585
HSBC,2024,2024-02-22,,,,0.016249614123637273,0.035001256909894835,0.03664109320090918,0.0864032521794055,0.20958258491854104
HSBC,2025,2025-02-20,0.05,1.53,-96.73202614379085,0.03778823224814211,0.04190451985259415,0.09931224825125051,0.05143545728701941,0.08671002154743632
HSBC,2026,2026-02-26,,,,-0.0797387542184251,-0.07736421706882202,-0.06920504663694535,0.0013285593379727973,0.01489408964309375
