Date,Close
2025-11-28,817.6619262695312
2025-12-01,802.6359252929688
2025-12-02,810.9422607421875
2025-12-03,832.1904296875
2025-12-04,833.4437866210938
2025-12-05,850.086181640625
2025-12-08,862.1527099609375
2025-12-09,871.990966796875
2025-12-10,884.5846557617188
2025-12-11,906.2606201171875
2025-12-12,883.3114013671875
2025-12-15,884.932861328125
2025-12-16,874.5474853515625
2025-12-17,867.76318359375
2025-12-18,871.71240234375
2025-12-19,888.8024291992188
2025-12-22,894.2935791015625
2025-12-23,896.9893798828125
2025-12-24,906.0119018554688
2025-12-26,902.2914428710938
2025-12-29,887.50927734375
2025-12-30,879.7898559570312
2025-12-31,874.3982543945312
2026-01-02,909.5532836914062
2026-01-05,943.4747314453125
2026-01-06,950.4678955078125
2026-01-07,936.0935668945312
2026-01-08,929.9359741210938
2026-01-09,934.064208984375
2026-01-12,944.5789184570312
2026-01-13,933.2386474609375
2026-01-14,927.7872924804688
2026-01-15,970.7511596679688
2026-01-16,956.9637451171875
2026-01-20,938.4312744140625
2026-01-21,948.0208129882812
2026-01-22,949.6522216796875
2026-01-23,914.0695190429688
2026-01-26,926.9815063476562
2026-01-27,924.8527221679688
2026-01-28,931.9056396484375
2026-01-29,935.1983032226562
2026-01-30,930.512939453125
2026-02-02,941.3757934570312
2026-02-03,934.07421875
2026-02-04,908.5186767578125
2026-02-05,885.7484741210938
2026-02-06,923.8878173828125
2026-02-09,938.679931640625
2026-02-10,944.0218505859375
2026-02-11,939.6448974609375
2026-02-12,899.8145141601562
2026-02-13,900.4014282226562
2026-02-17,911.2443237304688
2026-02-18,928.8417358398438
2026-02-19,911.8511962890625
2026-02-20,917.411865234375
2026-02-23,887.6386108398438
2026-02-24,897.5464477539062
2026-02-25,916.556396484375
2026-02-26,924.136474609375
2026-02-27,855.0700073242188
2026-03-02,861.7000122070312
2026-03-03,862.5800170898438
2026-03-04,867.25
2026-03-05,835.4600219726562
2026-03-06,821.4199829101562
2026-03-09,832.030029296875
2026-03-10,833.8099975585938
2026-03-11,823.760009765625
2026-03-12,787.52001953125
2026-03-13,782.2100219726562
2026-03-16,794.77001953125
2026-03-17,807.0399780273438
2026-03-18,805.47998046875
2026-03-19,809.5
2026-03-20,813.530029296875
2026-03-23,831.27001953125
2026-03-24,835.719970703125
2026-03-25,841.8400268554688
2026-03-26,822.6400146484375
2026-03-27,802.8900146484375
2026-03-30,807.5999755859375
2026-03-31,845.989990234375
2026-04-01,860.2100219726562
2026-04-02,863.0399780273438
2026-04-06,866.0499877929688
2026-04-07,864.1500244140625
2026-04-08,905.75
2026-04-09,903.719970703125
2026-04-10,907.7999877929688
2026-04-13,890.7899780273438
2026-04-14,909.6300048828125
2026-04-15,899.489990234375
2026-04-16,900.0
2026-04-17,925.9500122070312
2026-04-20,941.739990234375
2026-04-21,926.5499877929688
2026-04-22,934.8400268554688
2026-04-23,931.2999877929688
2026-04-24,926.9099731445312
2026-04-27,937.8099975585938
2026-04-28,926.5499877929688
2026-04-29,905.5999755859375
2026-04-30,923.77001953125
2026-05-01,923.7100219726562
2026-05-04,903.27001953125
2026-05-05,918.8900146484375
2026-05-06,937.3499755859375
2026-05-07,925.8699951171875
2026-05-08,936.47998046875
2026-05-11,944.8599853515625
2026-05-12,945.9000244140625
2026-05-13,955.4199829101562
2026-05-14,968.9600219726562
2026-05-15,948.469970703125
2026-05-18,946.3599853515625
2026-05-19,928.739990234375
2026-05-20,982.1199951171875
2026-05-21,988.1699829101562
2026-05-22,1000.2000122070312
